127.0.0.1 - - [26/Nov/2024:23:20:05 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/css/bootstrap.min.css HTTP/1.1" 200 203212
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/css/all.css HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/css/index.css HTTP/1.1" 200 4690
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/css/font-awesome.min.css HTTP/1.1" 200 36899
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/js/bootstrap.bundle.min.js HTTP/1.1" 200 78135
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/uploads/posterquyantang.jpg HTTP/1.1" 200 100665
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/css/chatbox.css HTTP/1.1" 200 6696
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/uploads/postertitanic.jfif HTTP/1.1" 200 21402
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/css/global.css HTTP/1.1" 200 10757
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/uploads/posterdanchoikhongsoconroi.jpg HTTP/1.1" 200 398614
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/uploads/posterconan.jfif HTTP/1.1" 200 109753
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/uploads/posteravatar.jfif HTTP/1.1" 200 14279
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/uploads/posterdoraemon.jpg HTTP/1.1" 200 107861
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 92133
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/uploads/postermatbiec.jpg HTTP/1.1" 200 42314
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/uploads/posterditruyen.jpg HTTP/1.1" 200 120803
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/images/eventsale20%25.png HTTP/1.1" 200 254446
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/images/eventmangphimlenvungcao.png HTTP/1.1" 200 888898
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:20:08 +0700] "GET /DoAnWebCinema/uploads/posterlatmat7.jpg HTTP/1.1" 200 96889
