127.0.0.1 - - [18/Dec/2024:11:57:10 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:57:12 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 82188
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:57:12 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:57:12 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:57:12 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Dec/2024:11:57:12 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:02:14 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 82188
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:02:14 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:02:14 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:02:14 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:02:14 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:05:10 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 82188
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:05:11 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:05:11 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:05:11 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:05:11 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:08:21 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 82188
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:08:21 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:08:21 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:08:21 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:08:21 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:08:30 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 82188
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:08:30 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:08:30 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:09:01 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 82188
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:09:01 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:09:01 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:09:01 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:09:01 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:10:26 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 82188
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:10:26 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:10:26 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:11:00 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 82188
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:11:00 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:11:00 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:11:00 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:11:00 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:11:06 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 82188
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:11:06 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:11:06 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:12:34 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 82188
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:12:34 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:12:34 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:13:04 +0700] "GET /DoAnWebCinema/customer/payment/70.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:13:04 +0700] "GET /DoAnWebCinema/login.htm HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:13:04 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:13:06 +0700] "POST /DoAnWebCinema/login/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:13:06 +0700] "GET /DoAnWebCinema/customer/payment/70.htm HTTP/1.1" 200 53033
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:13:12 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82084
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:13:13 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:13:13 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:13:13 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:13:13 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:16:51 +0700] "GET /DoAnWebCinema/datve/2024-12-18.htm?chinhanh=1 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:16:51 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:17:08 +0700] "GET /DoAnWebCinema/datve/2024-12-18.htm?chinhanh=2 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:17:08 +0700] "GET /DoAnWebCinema/datve/2024-12-18.htm?chinhanh=2 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:17:09 +0700] "GET /DoAnWebCinema/datve/2024-12-18.htm?chinhanh=1 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:17:09 +0700] "GET /DoAnWebCinema/datve/2024-12-18.htm?chinhanh=1 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:17:12 +0700] "GET /DoAnWebCinema/datve/2024-12-18.htm?chinhanh=1 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:17:12 +0700] "GET /DoAnWebCinema/datve/2024-12-19.htm?chinhanh=1 HTTP/1.1" 200 36120
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:17:18 +0700] "GET /DoAnWebCinema/datve/2024-12-19.htm?chinhanh=3 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:17:18 +0700] "GET /DoAnWebCinema/datve/2024-12-19.htm?chinhanh=3 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:17:19 +0700] "GET /DoAnWebCinema/datve/2024-12-19.htm?chinhanh=4 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:17:20 +0700] "GET /DoAnWebCinema/datve/2024-12-19.htm?chinhanh=4 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:17:20 +0700] "GET /DoAnWebCinema/datve/2024-12-19.htm?chinhanh=1 HTTP/1.1" 200 36120
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:17:21 +0700] "GET /DoAnWebCinema/datve/2024-12-19.htm?chinhanh=1 HTTP/1.1" 200 36120
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:17:24 +0700] "GET /DoAnWebCinema/datve/2024-12-19.htm?chinhanh=2 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:17:24 +0700] "GET /DoAnWebCinema/datve/2024-12-19.htm?chinhanh=2 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:17:25 +0700] "GET /DoAnWebCinema/datve/2024-12-19.htm?chinhanh=1 HTTP/1.1" 200 36120
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:17:25 +0700] "GET /DoAnWebCinema/datve/2024-12-19.htm?chinhanh=1 HTTP/1.1" 200 36120
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:17:26 +0700] "GET /DoAnWebCinema/datve/2024-12-19.htm?chinhanh=2 HTTP/1.1" 200 22484
